Symbol,DaysBetterThanSP,daysProfit,Year,Month,Day,dayOfWeek,NameLength,LastSale,MarketCap,Sector,Industry,CEOAge,CEOGender,City,stateCountry,netIncome,employees,IPOafterXYears,MarketMonthTrend,Market3MonthTrend,Market6MonthTrend,MarketYearTrend,USACompany,FiscalMonth,Profitable,Safe,HomeRun
SCACU,68,261,2016,9,16,4,31,10.55,0.0,Finance,Business Services,51,male, Los Angeles, CA,91498.0,9,0,-1.4681836869999998,-0.20317986600000001,0.563762643,1.002594143,Yes,Dec,1,0,0
SCCO,79,90,1996,1,11,3,27,55.82,43150449140.0,Basic Industries,Precious Metals,78,male, Phoenix, AZ,728500000.0,13140,44,0.0,0.0,0.0,0.0,Yes,Dec,0,0,0
SCS,101,60,1998,2,18,2,14,14.25,1662676534.0,Consumer Durables,Office Equipment/Supplies/Services,58,male, Grand Rapids, MI,79200000.0,11700,86,1.503449321,2.390820549,2.656273805,1.795469096,Yes,Feb,0,0,0
SCWX,114,83,2016,4,22,4,17,10.08,824266850.4,Technology,Computer Software: Prepackaged Software,56,male, Atlanta, GA,-28080000.0,2555,7,1.2130299759999998,1.369754226,1.045236742,0.7717795590000001,Yes,Jan,0,0,0
SCYX,110,144,2014,5,2,4,14,1.2699,59478858.71,Health Care,Major Pharmaceuticals,57,male, Jersey City, NJ,-25060000.0,19,15,0.8326287840000001,0.96787617,1.431897439,1.491085024,Yes,Dec,1,0,0
SD,127,205,2016,10,4,1,22,14.6,520371842.2,Energy,Oil & Gas Production,57,male, Oklahoma City, OK,47060000.0,476,32,-0.344890132,-0.5741219710000001,0.620129842,1.0333982529999999,Yes,Dec,1,0,0
SDLP,130,254,2012,10,19,4,21,2.87,263527992.0,Energy,Oil & Gas Production,50,male, London, the United Kingdom,141200000.0,800,0,-1.345289169,0.41361380700000006,1.032960695,1.256141884,No,Dec,1,1,0
SDRL,101,176,2005,9,1,3,16,0.2298,115921295.5,Energy,Oil & Gas Production,44,male, Hamilton, Bermuda,-2970000000.0,4328,0,-0.195013195,0.363075747,0.9350137540000001,1.134447198,No,Dec,1,0,0
SEAC,106,188,1996,11,5,1,29,3.07,108996884.0,Technology,Radio And Television Broadcasting And Communications Equipment,61,male, Acton, MA,13500000.0,286,3,0.0,0.0,0.0,0.0,Yes,Jan,1,0,0
SEDG,130,238,2015,3,26,3,28,53.1,2382216857.0,Technology,Semiconductors,52,male, Hod HaSharon, Israel,84170000.0,1007,9,-1.289472245,-0.239740993,0.37580483,0.9673802290000001,No,Dec,1,1,0
SELB,116,169,2016,6,22,2,25,13.03,291218415.2,Health Care,Major Pharmaceuticals,64,male, Watertown, MA,-65319999.99999999,64,9,-0.326032545,0.52199935,0.906874796,0.7939146979999999,Yes,Dec,1,0,0
SELF,88,68,2008,4,7,0,25,4.2108,32084060.07,Consumer Services,Real Estate Investment Trusts,59,male, New York, NY,-14629.0,27,25,1.41961851,0.773418686,-0.5629421370000001,-1.160986192,Yes,Dec,0,0,0
SEM,116,82,2009,9,25,4,35,18.1,2426970827.0,Health Care,Hospital/Nursing Management,60,male, Mechanicsburg, PA,171430000.0,42200,5,0.26901697,1.040024962,1.528454534,1.52228358,Yes,Dec,0,0,0
SEMG,96,86,2010,3,17,2,20,23.95,1884218230.0,Energy,Oilfield Services/Equipment,50,male, Tulsa, OK,-17150000.0,1220,10,1.84324625,1.947226168,2.243069359,1.5193478919999999,Yes,Dec,0,0,0
SERV,141,262,2014,6,26,3,35,51.38,6954104043.0,Consumer Services,Other Consumer Services,53,male, Memphis, TN,510000000.0,13000,85,1.036911266,1.647924292,1.984978162,1.805321855,Yes,Dec,1,1,0
SFBC,102,259,2012,8,24,4,29,36.2,91381325.2,Finance,Savings Institutions,65,female, Seattle, WA,5130000.0,121,0,0.7910233609999999,1.483713702,1.3106286809999999,1.337724353,Yes,Dec,1,0,0
SFBS,133,259,2014,5,14,2,28,42.07,2235449147.0,Finance,Major Banks,61,male, Birmingham, AL,93090000.0,434,7,0.98926151,1.3799563559999999,1.4972200230000001,1.483451848,Yes,Dec,1,1,0
SFIX,49,111,2017,11,17,4,16,21.75,2113840762.0,Consumer Services,Catalog/Specialty Distribution,34,female, San Francisco, CA,-59400.0,5800,6,0.21046000399999998,1.083844034,1.669143726,1.735614335,Yes,Jul,0,0,0
SFL,133,262,2004,6,14,0,34,14.7,1522658899.0,Transportation,Marine Transportation,50,male, Hamilton, Bermuda,101210000.0,11,1,0.535264101,0.36073159,0.066928767,0.922737762,No,Dec,1,1,0
